1	158
1	147
1	158
1	159
1	169
2	151
2	166
2	151
2	143
2	169
3	153
3	174
3	151
3	164
3	185
4	168
4	140
4	180
4	176
4	154
5	160
5	187
5	145
5	164
5	158
6	169
6	153
6	149
6	144
6	157
7	156
7	183
7	157
7	140
7	162
8	158
8	160
8	180
8	154
8	160
9	164
9	168
9	154
9	158
9	164
10	159
10	153
10	170
10	158
10	170
11	150
11	161
11	169
11	166
11	154
12	157
12	138
12	155
12	134
12	165
13	161
13	172
13	156
13	145
13	153
14	143
14	152
14	152
14	156
14	163
15	179
15	157
15	135
15	172
15	143
16	154
16	165
16	145
16	152
16	145
17	171
17	189
17	144
17	154
17	147
18	187
18	147
18	159
18	167
18	151
19	153
19	168
19	148
19	188
19	152
20	165
20	155
20	140
20	157
20	176
