1	69.8
1	71.3
1	65.6
1	66.3
1	70.1
2	71.9
2	69.6
2	71.9
2	71.1
2	71.7
3	71.9
3	69.8
3	66.8
3	68.3
3	64.4
4	64.2
4	65.1
4	63.7
4	66.2
4	61.9
5	66.1
5	62.9
5	66.9
5	67.3
5	63.3
6	63.4
6	67.2
6	67.4
6	65.5
6	66.2
7	67.5
7	67.3
7	66.9
7	66.5
7	65.5
8	63.9
8	64.6
8	62.3
8	66.2
8	67.2
9	66.0
9	69.8
9	69.7
9	71.0
9	69.8
10	66.0
10	70.3
10	65.5
10	67.0
10	66.8
11	67.6
11	68.6
11	66.5
11	66.2
11	70.4
12	68.1
12	64.3
12	65.2
12	68.0
12	65.1
13	64.5
13	66.6
13	65.2
13	69.3
13	62.0
14	67.1
14	68.3
14	64.0
14	64.9
14	68.2
15	67.1
15	63.8
15	71.4
15	67.5
15	63.7
16	60.7
16	63.5
16	62.9
16	67.0
16	69.6
17	71.0
17	68.6
17	68.1
17	67.4
17	71.7
18	69.5
18	61.5
18	63.7
18	66.3
18	68.6
19	66.7
19	75.2
19	79.0
19	75.3
19	79.2
20	77.3
20	67.2
20	69.3
20	67.9
20	65.6
