1	29
1	36
1	39
1	34
1	34
2	29
2	29
2	28
2	32
2	31
3	34
3	34
3	39
3	38
3	37
4	35
4	37
4	33
4	38
4	41
5	30
5	29
5	31
5	38
5	29
6	34
6	31
6	37
6	39
6	36
7	30
7	35
7	33
7	40
7	36
8	28
8	28
8	31
8	34
8	30
9	32
9	36
9	38
9	38
9	35
10	35
10	30
10	37
10	35
10	31
11	35
11	30
11	35
11	38
11	35
12	38
12	34
12	35
12	35
12	31
13	34
13	35
13	33
13	30
13	34
14	40
14	35
14	34
14	33
14	35
15	34
15	35
15	38
15	35
15	30
16	35
16	30
16	35
16	29
16	37
17	40
17	31
17	38
17	35
17	31
18	35
18	36
18	30
18	33
18	32
19	35
19	34
19	35
19	30
19	36
20	35
20	35
20	31
20	38
20	36
21	32
21	36
21	36
21	32
21	36
22	36
22	37
22	32
22	34
22	34
23	29
23	34
23	33
23	37
23	35
24	36
24	36
24	35
24	37
24	37
25	36
25	30
25	35
25	33
25	31
26	35
26	30
26	29
26	38
26	35
27	35
27	36
27	30
27	34
27	36
28	35
28	30
28	36
28	29
28	35
29	38
29	36
29	35
29	31
29	31
30	30
30	34
30	40
30	28
30	30
