0.1616	0.4419	0.6958	1.1921
-0.8593	-0.2313	1.6394	0.3708
0.3105	0.9233	0.2464	0.0874
0.3932	-0.1203	1.5827	0.5696
-0.2357	1.7659	0.0201	0.1192
0.9697	-0.2022	0.4544	0.0164
1.3633	0.9036	0.8427	1.6482
-0.4166	-0.4996	0.6385	0.2453
0.7540	-0.8778	0.1307	0.4522
-1.0570	-0.8574	1.0223	3.2312
-0.1287	2.7574	1.3423	1.4745
-0.6172	1.1033	1.6653	0.8870
0.3208	0.7066	0.0081	2.8097
0.9637	1.3595	5.2150	0.8533
0.2494	-0.0056	0.5453	0.1466
-1.1907	-0.5545	0.0844	0.9494
-2.4699	-0.1491	1.2346	0.0485
-0.1931	-0.9774	0.5721	4.4379
1.2274	-0.0868	1.5167	1.1244
-1.2826	1.7462	0.4843	0.2624
-1.1532	-0.2636	0.9145	1.3655
