5.20	8.25	5.20	X
4.70	9.95	4.70	X
5.75	5.90	5.75	X
7.50	7.05	7.50	X
6.45	8.45	6.45	X
6.55	7.55	6.55	X
4.70	9.80	4.70	X
4.80	10.80	4.80	X
5.95	6.60	5.95	X
5.20	7.55	5.20	X
6.35	8.10	6.35	X
6.95	9.10	6.95	X
5.70	6.10	5.70	X
6.20	9.30	6.20	X
5.40	8.75	5.40	X
6.20	7.00	6.20	X
5.85	7.80	5.85	X
6.80	8.00	6.80	X
5.65	9.00	5.65	X
5.50	6.30	5.50	X
5.65	8.35	5.65	X
5.85	8.70	5.85	X
5.75	8.00	5.75	X
6.35	7.50	6.35	X
5.75	9.50	5.75	X
5.95	8.30	5.95	X
5.90	7.05	5.90	X
7.00	8.30	7.00	X
6.10	7.95	6.10	X
5.80	9.60	5.80	X
		8.25	Y
		9.95	Y
		5.90	Y
		7.05	Y
		8.45	Y
		7.55	Y
		9.80	Y
		10.80	Y
		6.60	Y
		7.55	Y
		8.10	Y
		9.10	Y
		6.10	Y
		9.30	Y
		8.75	Y
		7.00	Y
		7.80	Y
		8.00	Y
		9.00	Y
		6.30	Y
		8.35	Y
		8.70	Y
		8.00	Y
		7.50	Y
		9.50	Y
		8.30	Y
		7.05	Y
		8.30	Y
		7.95	Y
		9.60	Y
